Air Quality,CO,Humidity,NO2,PM10,PM2.5,Population_Density,Proximity_to_Industrial_Areas,SO2,Temperature
0,1.15,51.8,26.4,40.3,36.0,264,10.8,5.4,28.1
2,1.42,74.9,28.8,45.5,43.3,598,7.8,9.5,32.0
0,0.92,63.9,15.8,10.8,9.3,490,10.1,4.6,25.0
2,1.44,69.3,27.7,25.0,15.7,482,9.5,10.6,25.7
1,2.07,69.2,35.3,30.3,7.9,724,4.9,27.6,35.1
0,0.98,63.2,13.4,9.3,6.8,358,10.0,4.9,26.7
0,1.03,44.9,20.5,9.2,4.6,545,10.2,5.7,20.4
2,1.48,84.2,22.5,19.2,5.2,623,7.3,9.0,24.6
2,1.48,62.8,31.2,35.6,25.8,411,5.3,19.0,25.9
0,1.0,54.0,13.9,15.4,10.6,265,10.5,8.9,22.1
3,2.15,97.9,31.6,76.8,54.0,513,6.6,16.4,34.1
0,1.18,63.5,17.2,13.9,6.1,390,16.4,4.3,24.9
0,0.99,55.2,27.7,21.2,12.4,467,10.6,3.7,28.0
0,0.96,53.9,11.1,6.4,2.9,533,11.8,6.6,26.7
3,2.2,101.1,39.9,42.6,28.6,639,6.8,4.0,30.4
1,1.87,65.4,42.7,52.8,34.3,721,2.5,9.4,41.4
0,0.95,73.4,25.7,21.4,13.8,194,11.0,3.8,25.5
0,0.99,49.6,19.7,21.7,17.0,214,11.1,11.3,28.2
3,1.95,75.5,32.1,41.3,32.2,543,4.4,9.4,36.6
0,1.09,77.7,20.0,15.8,11.0,409,11.2,5.6,18.8
0,0.92,77.5,15.1,29.5,23.1,399,10.4,3.7,26.3
3,1.89,96.9,36.5,30.2,11.4,680,6.8,20.3,34.9
0,1.12,50.7,24.8,5.0,1.1,593,12.4,2.1,23.0
0,0.82,78.8,26.1,26.0,19.3,214,10.7,5.5,22.3
0,1.09,76.9,23.4,6.7,2.3,338,14.7,2.8,21.4
3,2.1,75.6,25.7,28.3,6.6,643,4.1,23.5,44.7
0,0.97,73.0,26.6,15.0,12.2,266,12.9,3.6,22.4
3,2.03,82.0,29.8,18.7,8.8,600,5.7,14.7,32.3
2,1.63,70.8,22.0,16.3,8.1,527,5.1,15.9,33.5
2,1.46,52.0,38.9,15.9,7.2,452,7.3,12.1,33.1
0,1.04,48.0,18.6,19.9,15.5,503,10.3,7.7,25.5
3,1.89,77.8,43.8,23.4,1.5,681,6.0,20.0,29.9
0,1.12,67.5,12.1,5.0,1.9,576,11.0,4.5,29.3
2,1.45,73.9,21.5,28.5,25.9,562,5.5,3.1,23.9
0,1.05,40.0,20.4,23.0,20.7,318,12.5,6.2,23.7
0,1.09,70.1,13.5,10.4,5.4,224,12.5,1.1,21.9
1,2.36,105.8,39.9,47.4,24.5,878,4.0,26.7,44.9
0,1.01,45.5,24.3,13.0,6.2,205,10.7,5.0,27.0
1,2.14,87.5,40.4,87.0,81.9,631,2.9,18.4,49.6
0,1.03,75.7,20.1,20.7,19.0,316,10.7,5.3,22.2
2,1.53,51.9,21.0,53.0,48.4,628,6.6,10.4,35.4
3,1.38,68.2,24.5,15.4,3.4,748,4.8,6.4,41.5
0,0.93,60.5,15.1,8.9,4.6,378,10.2,6.8,21.0
2,1.76,73.7,31.5,30.7,20.3,512,7.3,12.5,31.3
0,1.07,66.7,21.8,16.9,14.3,413,10.4,7.8,23.9
0,0.94,45.1,21.2,6.4,0.4,226,10.1,1.7,24.6
3,2.0,59.3,31.0,33.1,14.4,622,5.3,16.7,24.1
1,2.84,82.2,35.1,89.8,73.6,620,4.1,13.3,41.4
0,0.95,73.0,15.0,6.2,0.2,543,14.2,5.5,22.5
2,1.68,57.9,26.3,59.6,50.0,541,6.3,9.4,26.7
0,0.98,51.3,21.7,8.0,3.9,454,12.8,5.9,24.6
2,1.6,70.7,24.5,11.3,8.4,382,8.2,6.1,32.0
3,1.68,77.2,26.3,44.4,27.9,586,7.7,23.1,29.5
2,1.52,68.3,29.0,40.1,33.2,410,6.5,9.5,32.5
2,1.75,56.8,36.1,5.0,1.9,481,7.5,7.6,33.0
2,1.29,86.8,27.9,22.4,7.3,690,6.0,6.0,30.1
0,0.93,75.4,23.7,4.7,0.7,291,11.4,7.3,22.3
2,1.55,81.5,22.6,30.4,18.9,341,5.1,12.8,27.4
0,0.88,40.6,25.3,6.9,2.3,590,12.5,4.0,28.3
2,1.46,68.9,23.6,11.5,2.0,638,7.1,13.0,30.8
2,1.53,78.7,28.2,20.5,1.1,449,5.5,9.8,27.7
2,1.32,82.6,30.1,5.6,1.2,310,5.9,5.9,33.3
0,1.07,66.9,21.8,16.3,7.8,435,10.0,8.1,22.9
2,1.74,78.9,31.3,19.0,9.3,714,6.8,11.2,29.6
2,1.56,83.9,21.3,37.3,20.9,442,5.7,11.1,28.0
0,1.12,40.5,13.4,7.3,3.7,246,12.6,0.9,22.9
2,1.3,59.7,22.9,25.3,13.3,598,6.3,14.1,23.1
2,1.38,77.1,20.4,43.9,35.3,599,5.6,14.4,36.2
0,1.11,75.9,26.6,25.9,20.3,334,10.8,4.9,27.6
2,1.36,60.4,28.1,12.8,1.6,406,12.5,5.7,32.8
0,0.89,71.5,23.8,6.5,1.3,384,13.8,4.8,21.6
2,1.47,81.8,21.8,17.5,4.3,437,5.1,12.8,31.4
2,1.27,63.0,23.2,21.1,11.0,333,6.6,9.6,27.4
0,1.08,64.4,11.7,7.2,1.1,239,10.9,8.6,24.2
1,2.03,88.7,45.1,46.0,29.3,821,3.2,20.7,40.0
0,1.08,72.1,13.3,32.3,25.5,358,10.9,5.7,29.2
0,0.97,41.7,23.2,8.2,3.6,370,10.4,9.1,20.1
1,1.91,94.6,44.3,30.1,17.9,525,2.6,4.0,42.6
2,1.53,64.0,26.6,21.6,8.6,647,5.0,8.1,29.0
2,1.87,54.3,26.5,20.8,5.7,437,7.2,13.4,30.7
1,2.45,90.7,35.6,43.8,33.6,754,3.1,19.6,37.3
2,1.49,70.5,24.1,15.2,7.5,417,6.0,8.6,33.4
2,1.41,89.4,26.5,47.3,30.0,613,6.0,8.1,33.7
0,0.95,44.6,16.2,28.1,23.1,437,10.0,9.0,23.0
2,1.61,80.1,31.1,19.7,8.6,562,8.1,10.3,28.9
3,2.13,97.1,26.8,24.1,10.5,686,5.1,16.5,33.5
0,0.89,42.6,24.7,18.0,10.5,517,10.8,7.0,25.2
2,1.63,79.7,30.6,25.3,21.1,609,5.9,6.5,30.2
3,2.61,74.6,43.9,76.2,64.2,679,3.5,17.4,35.6
2,1.41,64.3,14.2,74.1,58.1,489,5.5,9.7,32.4
2,1.65,80.5,27.9,55.1,43.6,664,6.9,11.3,35.0
3,2.34,98.6,37.5,85.3,68.4,695,9.0,16.9,37.3
2,1.48,78.5,29.3,19.2,14.8,451,8.0,-0.4,29.3
0,1.0,64.2,15.4,10.5,5.5,549,12.7,4.1,15.4
2,1.54,57.1,35.5,27.2,22.1,713,8.5,8.1,31.0
0,0.96,61.9,23.8,31.3,27.4,340,10.8,7.7,21.8
2,1.47,87.8,36.0,15.9,3.4,399,7.3,14.2,30.2
0,0.9,65.1,18.7,5.2,3.5,458,10.7,7.9,28.0
0,0.87,46.6,21.8,7.5,1.4,233,10.8,4.4,31.3
3,1.71,83.4,42.6,42.9,28.2,818,4.5,9.8,22.8
2,1.17,55.8,23.4,29.3,21.4,612,5.7,9.6,25.9
3,1.75,78.7,38.1,14.3,7.7,549,5.4,17.5,31.4
0,1.19,57.5,11.0,26.2,17.8,500,10.4,2.9,23.2
2,1.16,53.4,34.8,10.8,5.3,728,6.4,15.9,24.0
3,2.0,73.6,39.5,54.8,39.4,493,4.2,6.8,32.1
0,0.99,54.5,17.4,8.3,3.6,238,10.1,7.0,14.1
2,1.65,52.0,28.7,53.6,48.9,364,5.6,5.1,27.6
0,0.98,72.6,22.4,9.5,4.5,391,12.5,4.7,21.5
3,1.97,101.5,28.7,52.8,33.4,488,7.6,18.2,31.3
2,1.44,76.6,27.9,34.6,17.2,405,5.4,6.5,28.8
0,1.07,56.4,12.9,17.0,10.7,572,10.0,5.1,31.1
2,1.76,55.4,22.8,15.1,3.0,405,5.1,21.8,28.0
3,1.46,69.3,41.6,23.6,6.5,806,6.4,16.5,38.1
1,2.45,99.2,41.1,47.1,17.6,623,6.8,26.4,33.1
2,1.29,89.5,29.1,53.9,44.9,544,6.7,12.1,28.2
2,1.24,81.2,30.2,30.3,20.2,714,6.3,10.6,33.6
2,1.21,53.4,27.2,52.7,45.9,513,7.5,10.8,32.5
0,1.0,65.2,15.0,14.3,8.3,368,11.2,5.4,24.5
2,1.46,74.5,29.3,32.3,19.6,629,11.8,7.9,29.2
1,1.98,84.9,30.9,72.0,42.2,619,3.5,23.4,36.2
2,1.68,50.4,19.1,30.2,17.4,490,5.6,10.5,27.0
0,0.85,47.6,24.0,20.2,16.4,506,11.5,9.9,26.2
2,1.81,93.6,22.4,31.7,22.3,585,8.3,11.6,24.5
0,1.04,64.6,14.2,17.6,12.1,600,11.1,6.2,28.7
0,1.12,64.4,14.0,15.2,10.9,354,10.5,4.4,24.9
3,2.69,99.0,24.9,27.2,8.2,808,3.8,13.9,38.3
0,0.93,64.2,23.6,10.3,1.5,386,11.5,-0.4,25.9
0,0.88,65.1,11.1,10.6,3.1,500,12.0,4.9,22.8
2,1.69,75.1,25.8,36.0,24.9,516,6.4,6.3,32.5
0,0.9,59.5,25.8,11.3,6.0,231,10.7,0.7,25.1
2,1.64,49.6,22.0,28.5,24.0,518,5.3,8.8,32.9
2,1.55,80.2,34.3,28.8,27.7,631,6.2,12.3,28.0
0,0.99,48.5,18.4,10.5,5.3,547,10.4,5.0,26.1
3,2.06,90.3,41.2,58.2,35.4,662,5.1,7.9,28.0
2,1.7,63.8,31.3,22.1,12.2,389,5.0,15.5,30.4
0,1.05,38.3,19.1,8.8,3.6,379,17.8,6.6,25.5
3,1.58,78.5,45.5,25.9,6.0,470,4.0,17.8,36.6
2,2.0,60.2,24.9,19.8,10.7,472,6.4,12.4,29.8
1,2.33,96.3,32.9,87.3,70.8,557,4.8,17.0,33.7
2,1.46,62.0,31.4,86.0,79.2,615,5.9,7.6,26.2
0,1.07,61.5,25.1,4.5,0.0,536,11.0,4.3,27.6
0,0.96,60.3,21.2,3.6,1.1,470,11.4,5.1,30.8
0,1.07,51.7,24.0,22.2,19.1,371,10.6,7.0,23.7
3,2.24,75.5,38.8,14.2,6.4,644,9.0,11.0,43.1
2,2.03,61.2,17.5,18.5,12.1,502,9.3,5.1,29.1
0,1.06,48.0,15.1,17.7,11.1,334,16.4,7.6,28.4
2,1.79,86.1,39.1,21.6,9.0,450,5.2,7.5,34.5
0,1.05,52.8,24.4,16.7,11.7,430,10.1,2.3,20.4
3,2.55,92.2,38.1,19.0,10.7,429,4.8,9.6,30.9
0,1.13,54.7,11.4,12.8,10.2,362,10.9,4.5,23.4
2,1.78,75.8,29.7,19.5,1.1,402,6.3,4.0,29.8
0,0.96,55.9,17.2,10.9,8.4,497,14.8,7.2,24.2
2,1.54,54.6,28.1,13.6,3.8,701,5.2,20.3,32.1
0,1.14,42.6,23.7,10.6,7.4,292,13.4,5.2,23.3
3,1.62,100.1,30.7,18.1,3.9,457,3.7,15.5,26.7
3,2.19,100.3,30.4,26.4,7.0,770,4.2,20.2,31.3
0,1.05,83.0,22.2,14.1,4.0,225,11.9,3.2,29.6
2,1.41,83.3,35.9,44.0,33.9,488,6.2,9.1,25.3
0,0.88,60.3,21.8,13.2,6.5,412,11.1,5.1,26.4
2,1.56,61.4,37.0,40.3,28.2,559,6.9,11.3,23.9
0,0.93,61.8,18.6,9.9,3.2,438,13.6,5.2,23.9
3,2.16,71.3,26.1,30.9,11.8,730,5.4,23.5,32.5
1,2.81,71.9,50.3,31.0,5.4,503,6.4,15.6,38.7
2,1.54,83.3,30.9,18.4,2.3,355,5.0,15.1,32.4
0,1.04,71.3,23.6,12.7,6.2,389,11.1,5.9,26.7
2,1.19,88.9,33.3,16.1,8.9,447,6.0,8.5,34.7
2,1.41,56.1,31.2,8.8,0.1,351,5.6,5.7,33.5
0,1.02,54.9,21.3,22.4,16.6,210,12.2,7.0,26.0
0,1.07,68.1,20.8,9.1,7.2,379,10.2,4.7,28.2
0,1.19,42.5,20.6,6.4,1.9,493,11.3,4.3,23.4
0,1.07,52.6,13.5,3.6,1.9,492,11.4,6.2,25.6
0,1.01,41.5,17.3,7.1,0.3,212,11.4,3.2,22.5
2,1.45,75.7,29.4,18.1,2.3,633,6.0,10.1,33.5
1,2.36,78.4,42.9,46.0,17.9,517,2.8,21.1,47.2
2,1.59,60.1,22.2,13.9,2.9,661,7.7,14.5,35.8
2,1.59,72.7,21.2,25.0,9.3,404,7.5,9.7,29.5
0,1.18,47.3,11.5,6.9,1.2,451,15.7,5.5,31.7
0,0.94,73.3,18.6,8.5,1.8,207,13.1,8.3,21.5
3,1.66,66.1,28.1,41.3,21.7,745,5.9,2.7,40.0
3,2.03,82.4,28.2,49.8,24.3,818,8.5,11.5,39.1
0,1.03,43.8,21.5,23.1,18.4,253,12.1,2.6,27.2
3,2.03,96.2,35.8,65.4,47.1,661,5.2,17.1,39.6
1,2.07,91.9,43.7,34.2,22.3,900,3.1,17.4,40.2
2,1.46,77.1,24.1,24.8,20.6,576,6.7,12.4,26.4
0,0.74,74.4,22.4,6.0,0.6,583,11.6,3.5,29.7
3,2.14,63.2,41.7,19.6,8.9,473,5.1,9.9,25.2
0,1.15,75.7,21.2,9.3,4.7,541,16.0,5.2,25.0
2,1.42,67.6,29.2,15.4,6.0,564,8.7,6.0,30.8
2,1.49,56.8,24.6,4.7,0.2,696,5.3,10.2,30.2
0,1.02,74.6,15.9,8.1,0.3,381,15.6,6.3,21.5
2,1.61,84.4,17.2,9.5,3.7,504,5.7,8.9,33.1
0,0.91,47.5,26.5,26.0,22.8,406,12.2,4.1,24.1
2,1.63,84.6,23.9,42.9,34.1,629,9.1,9.4,35.4
0,0.99,76.6,22.4,16.5,8.6,514,16.7,6.2,25.8
0,1.01,51.4,17.1,23.5,18.6,443,12.1,5.5,24.7
3,1.8,100.8,28.5,30.0,7.4,711,7.2,16.3,23.1
2,1.33,87.0,29.2,34.1,26.4,619,6.5,17.2,35.9
2,1.21,75.1,25.6,34.0,21.5,401,6.1,7.6,30.5
2,1.65,48.8,16.9,15.8,0.7,662,5.2,8.6,32.0
0,0.9,52.1,19.3,9.8,5.1,271,10.9,2.7,28.3
3,2.15,75.9,38.9,80.4,57.6,463,3.4,28.6,31.2
2,1.38,55.1,20.3,14.9,3.8,629,6.3,5.2,27.5
2,1.34,77.2,33.6,44.0,34.4,372,6.4,12.7,30.2
3,2.28,70.7,29.1,78.1,69.5,420,7.2,16.2,36.0
1,2.15,103.6,49.3,50.4,19.1,879,3.3,7.4,36.5
0,1.05,54.7,27.9,8.2,2.0,330,17.0,3.4,26.3
0,0.91,52.8,26.5,10.0,1.2,377,12.1,3.4,26.5
0,0.96,66.8,25.5,21.1,18.9,416,11.3,5.0,20.3
2,1.55,66.1,30.5,25.3,17.3,482,8.0,6.0,30.0
0,1.05,41.0,23.4,6.4,0.3,432,10.5,7.3,26.2
0,0.96,46.5,14.2,13.0,5.9,547,10.5,6.7,24.6
0,0.89,72.9,22.7,10.4,1.9,300,10.8,2.1,24.3
0,0.99,70.9,17.4,19.6,15.8,516,11.4,5.6,22.7
0,1.02,57.9,21.9,27.3,21.9,336,11.1,4.3,23.8
2,1.44,69.1,21.4,76.5,60.1,512,5.7,9.2,24.3
2,1.63,94.8,34.1,15.2,7.8,392,5.4,9.8,32.7
0,1.01,51.7,16.5,13.0,8.4,226,10.1,5.0,29.0
0,1.07,69.1,21.6,19.1,13.6,231,10.5,4.6,27.7
0,0.9,64.6,20.5,20.3,17.1,355,10.5,6.7,24.6
0,1.03,77.4,21.1,27.8,21.1,384,10.0,4.5,21.9
0,1.01,75.4,24.2,15.0,8.4,275,11.5,2.6,23.7
0,1.07,41.8,25.5,6.5,1.5,303,10.5,2.5,26.7
2,1.31,81.0,35.2,22.2,13.6,534,9.1,7.3,32.8
2,1.73,80.8,30.4,14.8,7.3,606,8.4,7.2,29.7
0,0.89,79.1,22.5,3.5,1.4,407,10.3,4.8,20.0
2,1.47,66.9,30.6,8.6,5.2,485,10.5,14.0,32.9
0,0.95,69.0,10.2,7.9,0.7,489,11.6,6.3,21.8
0,0.78,58.3,14.6,6.7,1.8,260,16.0,4.8,20.5
0,1.04,59.1,15.2,16.6,16.0,439,10.5,6.8,25.4
1,2.16,95.1,42.9,46.7,37.4,679,2.8,21.3,40.6
2,1.42,60.0,20.2,65.5,54.5,418,9.0,7.9,33.2
2,1.71,69.0,23.0,25.3,16.3,344,5.5,7.7,28.5
1,2.31,86.7,36.5,30.2,6.2,465,2.9,17.8,30.3
3,2.4,96.2,29.0,66.5,48.5,569,6.0,15.2,34.9
2,1.53,76.6,28.1,35.9,24.8,440,7.4,13.4,28.0
2,1.19,92.6,24.3,20.1,9.9,453,6.2,11.1,27.0
0,1.1,65.6,24.7,7.1,0.2,370,13.2,6.1,24.1
3,2.07,63.3,28.6,23.6,3.0,548,10.1,14.2,34.0
3,1.87,69.3,26.5,78.8,64.5,579,12.2,10.3,25.7
0,1.16,62.5,25.2,7.3,1.8,501,11.7,3.4,23.5
0,0.95,50.4,14.3,11.5,4.0,466,13.6,9.7,22.1
0,1.01,44.2,27.5,27.3,24.7,315,10.5,7.7,29.6
1,2.35,90.1,44.7,69.5,63.2,771,3.5,23.5,38.8
2,1.55,62.8,36.9,32.8,22.2,437,5.0,1.1,29.8
0,1.09,54.5,24.2,10.3,3.9,580,10.3,5.5,26.6
2,1.55,84.7,25.3,20.0,9.4,626,6.7,14.9,35.5
3,2.17,72.4,35.5,68.4,60.3,580,3.4,14.0,37.1
3,2.01,65.0,37.5,46.2,22.6,509,3.7,23.0,35.4
1,2.54,66.0,48.0,51.4,33.3,709,3.6,12.8,42.2
0,0.91,79.4,19.3,9.0,5.9,219,10.6,0.7,24.7
0,0.92,63.6,20.8,10.2,4.2,487,11.6,3.2,28.7
0,0.95,68.0,10.6,11.4,7.4,316,10.8,7.4,20.8
0,0.78,45.4,22.8,25.3,19.9,385,13.8,3.9,21.7
0,0.99,70.6,21.1,14.2,8.2,262,10.2,0.4,19.4
0,0.99,68.3,11.7,13.9,7.8,307,12.3,2.7,26.0
0,0.91,80.0,23.6,3.2,1.0,276,13.4,2.8,20.5
1,2.67,75.1,38.1,40.7,19.7,875,11.5,26.6,36.7
0,0.83,44.2,18.8,12.5,9.5,341,10.6,-0.2,24.3
2,1.38,73.4,29.6,18.7,3.5,522,6.5,8.2,34.0
1,1.86,93.9,33.3,34.1,17.0,684,3.1,11.4,37.0
2,1.91,60.6,32.7,16.0,1.7,637,7.2,13.3,29.2
0,1.03,43.1,22.7,7.9,4.1,499,10.1,8.0,23.1
0,1.1,55.5,18.9,3.9,0.1,198,10.6,5.3,19.6
0,0.97,66.7,16.4,5.7,1.3,205,15.6,5.9,26.3
0,1.14,56.9,13.0,6.9,2.9,360,11.3,8.2,24.0
0,0.97,48.2,19.4,25.9,16.8,544,14.8,3.9,24.3
0,1.03,77.0,20.1,11.2,4.6,282,11.3,6.4,25.3
2,1.28,78.1,26.7,19.8,1.1,376,9.3,10.7,27.8
3,2.12,80.4,27.9,29.5,18.0,685,4.1,8.5,44.0
0,0.82,46.7,26.5,26.8,19.2,354,13.7,6.7,22.6
0,1.11,47.7,25.7,16.4,11.0,332,10.1,5.5,30.8
0,1.08,68.9,12.8,8.4,3.9,447,10.5,4.8,22.5
3,2.44,59.3,33.0,74.7,62.2,801,3.6,19.2,43.3
2,1.24,54.1,21.0,16.1,4.7,613,5.7,6.3,26.7
0,1.13,67.7,24.6,9.2,2.4,249,11.1,7.6,27.3
0,1.08,47.2,24.7,5.5,3.0,368,10.7,0.7,26.3
2,1.61,61.3,21.9,27.1,8.5,343,5.5,13.0,38.1
1,2.53,113.0,41.5,52.0,30.2,677,3.3,23.3,44.8
2,1.87,55.2,23.5,11.1,9.7,576,7.1,15.7,26.6
3,2.24,49.1,29.1,26.5,18.1,649,3.9,13.4,35.7
2,1.68,72.5,28.1,12.3,7.3,555,5.4,10.0,30.6
2,1.69,74.4,22.8,22.2,13.2,422,5.4,6.5,27.8
2,1.54,76.4,27.6,31.9,18.3,516,5.9,11.6,30.7
0,1.19,67.6,24.5,4.3,0.2,412,14.6,6.4,23.5
2,1.03,87.2,29.9,43.8,32.8,482,7.6,9.0,39.0
2,1.71,43.8,22.9,61.9,46.5,523,10.8,5.2,33.5
3,2.66,85.2,30.5,44.8,31.6,554,4.5,19.0,40.6
2,1.43,53.6,20.8,13.1,1.9,309,5.0,9.0,21.8
2,1.45,64.6,22.3,37.7,21.8,465,6.4,5.6,27.4
3,2.01,65.1,27.3,33.8,26.0,631,4.4,22.0,31.3
2,1.46,86.8,20.6,41.3,33.4,295,10.6,8.3,29.9
2,1.41,93.2,28.7,9.5,5.5,393,5.9,15.3,30.6
3,2.11,68.4,44.2,42.4,28.3,726,3.8,6.6,36.6
0,1.05,50.1,17.6,16.9,8.9,291,10.4,0.8,28.2
0,1.04,49.2,10.9,5.8,1.5,293,15.7,3.8,25.6
3,2.11,71.1,39.2,35.1,20.4,562,10.5,10.9,31.5
3,1.8,71.6,37.9,30.1,6.9,713,3.8,8.3,41.1
0,0.94,66.5,12.9,14.5,8.5,354,13.2,3.7,25.6
0,1.05,47.8,17.1,7.8,3.3,581,13.4,6.7,24.9
0,1.0,58.3,14.5,19.1,13.8,437,12.2,9.5,24.8
3,1.62,73.0,29.8,18.7,9.8,705,4.6,19.9,27.6
3,1.76,80.4,36.8,52.2,36.4,643,9.0,21.1,32.4
2,1.51,72.7,29.3,39.6,26.3,439,9.0,14.9,34.4
0,1.04,49.2,23.8,14.9,9.9,441,10.5,7.4,27.8
3,2.06,93.9,36.1,22.4,8.3,497,3.8,22.3,41.7
2,1.48,61.0,18.7,31.3,21.4,638,6.9,7.4,30.2
0,1.03,51.4,12.1,36.6,33.1,241,11.1,8.4,27.1
3,1.85,77.3,41.2,24.8,19.6,656,3.8,17.6,24.4
2,1.63,56.2,23.7,40.8,30.9,572,6.4,9.1,28.9
0,1.07,38.3,20.3,14.7,9.7,375,11.4,5.2,26.6
0,0.87,48.1,24.5,19.8,14.8,381,12.0,4.3,24.4
2,1.18,44.7,22.0,22.1,12.7,363,5.8,8.7,27.4
3,1.6,90.8,33.4,15.0,3.6,643,4.0,25.2,32.8
2,1.29,49.9,30.5,14.5,2.0,565,5.4,9.1,36.6
2,1.77,73.1,26.9,7.9,2.8,421,6.2,14.5,35.7
3,2.35,76.0,43.9,88.8,64.6,804,4.9,4.1,31.0
3,1.9,81.2,32.9,37.3,17.3,445,4.0,17.5,36.7
2,1.5,55.2,24.8,28.8,11.6,350,7.8,9.9,24.2
0,1.09,53.4,22.2,9.9,2.6,297,13.7,4.6,29.6
2,1.84,56.9,33.1,20.6,17.9,606,5.6,7.0,33.0
0,0.87,69.9,23.2,6.7,0.4,520,15.2,4.4,20.9
0,1.16,42.0,22.7,17.4,10.0,384,10.4,7.2,25.7
2,1.63,87.5,28.7,43.1,33.8,561,6.3,12.2,30.0
0,0.97,73.8,11.1,4.2,3.1,447,14.5,4.1,23.7
0,0.87,64.0,15.7,7.1,0.8,456,13.1,4.7,21.2
0,1.06,43.9,20.4,8.1,5.9,564,11.1,5.4,23.1
